id,title,rating,ratingLevel,ratingDescription,release_year,user rating score,user rating size
934,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
935,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,NA,82
936,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
937,Ernest & Celestine,PG,some scary moments,60,2012,NA,82
938,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
939,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,NA,82
940,Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,NA,82
941,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,NA,82
942,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
943,Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,NA,82
944,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,NA,82
945,Ribbit,PG,some peril,60,2014,NA,82
946,Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,NA,82
947,Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
948,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
949,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,NA,82
950,Growing Up Wild,G,,35,2016,80,80
951,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
952,Mr. Magoo,PG,mild language and action sequences,60,1997,NA,82
953,Flubber,PG,slapstick action and mild language,60,1997,83,80
954,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
955,Antz,PG,moderate adult language and intense action,60,1998,80,80
956,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
957,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,NA,82
958,The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
959,Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,NA,82
960,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
961,Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58,80
962,Cats & Dogs,PG,animal action and humor,60,2001,NA,82
963,Baby's Day Out,PG,mild language and comic action,60,1994,71,80
964,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
965,Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
966,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
967,Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93,80
968,Heavyweights,PG,some rude language and pranks,60,1995,74,80
969,Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,NA,82
970,Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,NA,82
971,Annie,PG,adult content and mld violence,60,1982,68,80
972,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
973,D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70,80
974,"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80,80
